epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,181.802,0.74019,0.17549,0.20726,0.47482,1.00901,0.99765,1,0.995,0.7779,0.99765,1,0.995,0.995,0.89097,0.07866,0.01287,0.36765,0.99809,0.0008384,0.0008384,0.0008384
90,183.318,0.76133,0.19874,0.1933,0.48915,0.97577,0.9976,1,0.995,0.79246,0.9976,1,0.995,0.995,0.84898,0.07681,0.00834,0.33228,0.97773,0.0008252,0.0008252,0.0008252
91,184.958,0.75948,0.13774,0.16414,0.49539,1.0058,0.99789,1,0.995,0.79117,0.99789,1,0.995,0.995,0.85703,0.07684,0.00716,0.33684,0.97432,0.000812,0.000812,0.000812
92,186.862,0.67106,0.19489,0.26214,0.47632,0.96812,0.99786,1,0.995,0.77199,0.99786,1,0.995,0.995,0.89608,0.06741,0.0099,0.38058,0.9874,0.0007988,0.0007988,0.0007988
93,188.716,0.7353,0.15837,0.21093,0.46644,0.96792,0.99762,1,0.995,0.76048,0.99762,1,0.995,0.995,0.90842,0.08083,0.01535,0.38803,0.99298,0.0007856,0.0007856,0.0007856
94,190.693,0.68155,0.18599,0.22454,0.45595,0.96888,0.99724,1,0.995,0.77666,0.99724,1,0.995,0.995,0.88076,0.08015,0.0164,0.38975,0.99239,0.0007724,0.0007724,0.0007724
95,192.174,0.70842,0.15887,0.21404,0.46116,0.98818,0.9971,1,0.995,0.78772,0.9971,1,0.995,0.995,0.85591,0.06461,0.01343,0.38848,0.98883,0.0007592,0.0007592,0.0007592
96,193.771,0.75359,0.14412,0.19335,0.49345,0.98875,0.99712,1,0.995,0.77389,0.99712,1,0.995,0.995,0.84269,0.05559,0.01564,0.36326,0.98509,0.000746,0.000746,0.000746
97,195.469,0.7358,0.14015,0.19681,0.4878,0.96917,0.9971,1,0.995,0.7819,0.9971,1,0.995,0.995,0.84315,0.05439,0.01837,0.35362,0.98372,0.0007328,0.0007328,0.0007328
98,197.052,0.68688,0.14375,0.19172,0.46138,0.98449,0.99729,1,0.995,0.77845,0.99729,1,0.995,0.995,0.86721,0.05299,0.02033,0.35663,0.99856,0.0007196,0.0007196,0.0007196
99,198.79,0.71788,0.19585,0.19397,0.47149,0.96362,0.99727,1,0.995,0.76637,0.99727,1,0.995,0.995,0.89745,0.06861,0.02323,0.35466,1.00448,0.0007064,0.0007064,0.0007064
100,200.635,0.76879,0.16208,0.21014,0.51424,1.00007,0.99711,1,0.995,0.77938,0.99711,1,0.995,0.995,0.87415,0.07481,0.02219,0.36122,0.99303,0.0006932,0.0006932,0.0006932
101,202.251,0.69716,0.19022,0.23732,0.42703,0.96414,0.9968,1,0.995,0.77511,0.9968,1,0.995,0.995,0.8763,0.07654,0.0198,0.35787,0.99078,0.00068,0.00068,0.00068
102,203.887,0.70278,0.1582,0.19649,0.44878,0.96297,0.99686,1,0.995,0.76706,0.99686,1,0.995,0.995,0.90222,0.07232,0.01651,0.37929,0.99975,0.0006668,0.0006668,0.0006668
103,205.428,0.72163,0.13629,0.18734,0.47279,0.96472,0.99773,1,0.995,0.76093,0.99773,1,0.995,0.995,0.89871,0.07598,0.01619,0.39316,1.00316,0.0006536,0.0006536,0.0006536
104,207.017,0.7076,0.22774,0.20299,0.48179,0.9702,0.99791,1,0.995,0.76595,0.99791,1,0.995,0.995,0.90141,0.06606,0.01437,0.39233,1.00769,0.0006404,0.0006404,0.0006404
105,208.87,0.66169,0.14894,0.184,0.45387,0.96183,0.99784,1,0.995,0.78878,0.99784,1,0.995,0.995,0.87942,0.05708,0.01162,0.37009,0.99518,0.0006272,0.0006272,0.0006272
106,210.624,0.63079,0.12625,0.2193,0.43593,0.95918,0.99775,1,0.995,0.77555,0.99775,1,0.995,0.995,0.88041,0.05995,0.0122,0.37101,0.99461,0.000614,0.000614,0.000614
107,212.128,0.65806,0.13713,0.18829,0.4342,0.93836,0.99771,1,0.995,0.79107,0.99771,1,0.995,0.995,0.88381,0.05955,0.0148,0.34797,0.99557,0.0006008,0.0006008,0.0006008
108,213.728,0.64586,0.13897,0.16658,0.42607,0.94622,0.99778,1,0.995,0.77911,0.99778,1,0.995,0.995,0.86717,0.0682,0.01696,0.35932,0.99988,0.0005876,0.0005876,0.0005876
109,215.301,0.6538,0.1949,0.19025,0.45801,0.94032,0.99792,1,0.995,0.77648,0.99792,1,0.995,0.995,0.86947,0.07723,0.01444,0.38568,1.00484,0.0005744,0.0005744,0.0005744
110,216.886,0.65615,0.13203,0.18843,0.43341,0.96212,0.99745,1,0.995,0.78757,0.99745,1,0.995,0.99237,0.86094,0.07736,0.00965,0.36286,0.99493,0.0005612,0.0005612,0.0005612
111,218.821,0.65335,0.13189,0.19254,0.44797,0.96972,0.99761,1,0.995,0.78816,0.99761,1,0.995,0.995,0.87996,0.07284,0.00694,0.35033,0.99591,0.000548,0.000548,0.000548
112,220.668,0.68667,0.15876,0.19761,0.46355,0.96633,0.99776,1,0.995,0.78684,0.99776,1,0.995,0.995,0.87238,0.05174,0.00704,0.34153,0.99608,0.0005348,0.0005348,0.0005348
113,222.218,0.63853,0.12288,0.20314,0.44995,0.95582,0.99757,1,0.995,0.78254,0.99757,1,0.995,0.995,0.90283,0.05076,0.00893,0.34675,1.00406,0.0005216,0.0005216,0.0005216
114,223.828,0.67607,0.13828,0.1647,0.46521,0.96452,0.99738,1,0.995,0.78702,0.99738,1,0.995,0.995,0.89291,0.05676,0.01189,0.35441,1.00008,0.0005084,0.0005084,0.0005084
115,225.379,0.6544,0.11101,0.20627,0.45855,0.95762,0.99738,1,0.995,0.79302,0.99738,1,0.995,0.995,0.87399,0.05353,0.01323,0.35053,0.99562,0.0004952,0.0004952,0.0004952
116,226.952,0.62058,0.16754,0.17832,0.43181,0.93831,0.99752,1,0.995,0.78495,0.99752,1,0.995,0.995,0.88546,0.05445,0.01363,0.34453,0.9953,0.000482,0.000482,0.000482
117,228.682,0.64813,0.18962,0.19369,0.46676,0.96049,0.99732,1,0.995,0.78242,0.99732,1,0.995,0.995,0.88264,0.05358,0.01397,0.34574,0.99223,0.0004688,0.0004688,0.0004688
118,230.235,0.63889,0.14237,0.18048,0.43431,0.95836,0.99762,1,0.995,0.77414,0.99762,1,0.995,0.995,0.86877,0.05499,0.01389,0.3336,0.98907,0.0004556,0.0004556,0.0004556
119,232.019,0.63964,0.13688,0.19672,0.41949,0.958,0.99772,1,0.995,0.77467,0.99772,1,0.995,0.995,0.85959,0.05851,0.01349,0.32772,0.99117,0.0004424,0.0004424,0.0004424
120,233.719,0.65437,0.19021,0.21404,0.42558,0.96356,0.99774,1,0.995,0.77925,0.99774,1,0.995,0.995,0.87122,0.05588,0.0123,0.34823,0.99528,0.0004292,0.0004292,0.0004292
121,235.251,0.60253,0.1069,0.19795,0.43815,0.93843,0.99776,1,0.995,0.7811,0.99776,1,0.995,0.995,0.8877,0.05161,0.01264,0.35106,1.00228,0.000416,0.000416,0.000416
122,237.079,0.65169,0.14122,0.21583,0.48361,0.98007,0.99761,1,0.995,0.7681,0.99761,1,0.995,0.995,0.8815,0.04811,0.01308,0.35968,1.00386,0.0004028,0.0004028,0.0004028
123,239.059,0.60833,0.11744,0.19325,0.42817,0.95623,0.99747,1,0.995,0.77362,0.99747,1,0.995,0.995,0.84995,0.0494,0.01486,0.35527,0.98822,0.0003896,0.0003896,0.0003896
